tag,description,number of highlights
Moderator comment,"The moderator intervenes because the participant struggles to complete a task, wanders of task or goes too deep into a task or the systems crashes.",185
Additional feature suggestion,,136
Task confusion,The task description does not accurately represent the process that needs to be completed for the user,75
Simple export,Data and metadata generated are simple and easy to export,70
Data provenance table simple,The information in the data provenance table is understandable,68
Wording not clear,A word or expression that appears in a paragraph is not clear or used appropriately. ,60
Search feature simple,Control+F function to look for specific elements in the metadata is simple and easy for the user,59
Task read again,The participants needs to read the task(s) again.,59
Metadata buttons collapse design,The metadata buttons collapse feature requires some time to be understood,53
Positive comment,,49
Additional explanation,"The participant requests additional explanation for a feature, visualization or text description.",48
Data table content clear,The event-environmental data table is understandable,45
System issue,"The user identifies a system issue as taking long to load, crash or not responsive.",42
Heatmap plot clear,The heatmap plot is understandable,40
Data table colors concept clear,After reading the explanatory paragraph the data table cell background colors are understood,38
Home tab text clear,"The text information in the home tab is understood by the user, understanding the overall process underpinned by the UI.",37
Boxplots clear,,33
Data table column names clear,The data table column names are understood when reading the tooltip,32
Data availability clear,The participants understands if there is data available or not.,32
Data table features useful,"Hiding, restoring and ordering the columns and values in the data table improves the usability of the table",31
Time window clear,,31
Polar plot not clear,,29
Search information process complex,,29
Export data useful,Exporting the data for a subsequent analysis is useful,27
Task order,The participant starts or completes a task before the assigned order.,26
Query inputs clear,The query input options are clear in general.,26
Temporal unit input clear,The participant understands the temporal unit input.,26
Time window terminology,"The time window 'length' and 'lag' term are not completely straightforward, generate doubts or confuse the user.",25
Data lineage concept,"The data lineage content generates doubts, confuse the user or is referred as code.",25
Visualization useful,,25
Query process clear,The query process and execution is clear.,25
Event concept not clear,The event concept and terminology are not understood as they are confused with number of cases,24
Data table useful,,24
Tab design issue,The user cannot find the referred tab quickly,23
Event types clear,,23
Log in easy,The user logs in to the dashboard easily and quickly,20
Location input clear,,20
Aggregation method clear,The aggregation methods are clear an enough to obtain the desired data.,20
Data table toggle useful,The toggle columns feature is useful for the participant.,20
Interactive plot nice,The interactivity of the plots is appreciated by the participant.,19
Data provenance data sets terminology,The data set filenames are not clear or confusing.,19
Data table useful for analysis,The data table does link event and environmental data but to understand the effect of the environmental factors for the events it requires further analysis. The data table is the starting point.,18
Full metadata concept,Full metadata information is not clearly understood,17
Additional source exploration,The user clicks on an information link leading to the exploration of additional sources besides the dashboard.,15
Multiple input selection useful,,15
Polar plot useful,,15
